Item ID,Short Title,Title,Year,Abstract,TAS Human Coding,New Column
130312582,Bahari (2024),The effects of sumac consumption on inflammatory and oxidative stress factors: a systematic review of randomized clinical trials.,2024,"Background: Rhus coriaria L., commonly known as Sumac, is a plant from the Anacardiaceae family that is known for its high phytochemical content. These phytochemicals have the potential to effectively manage inflammation and oxidative stress. To explore the existing evidence on the impact of Sumac consumption on inflammation and oxidative stress, we conducted a systematic review of randomized controlled trials. Methods: We conducted a comprehensive search of Medline/PubMed, Scopus, and Web of Science from inception to August 2023 to identify relevant studies examining the effects of Sumac on biomarkers of inflammation and oxidative stress. The selected studies were assessed for risk of bias using the Cochrane tool. Results: A total of seven trials were included in this review. Among these trials, three focused on diabetes patients, while the remaining four involved individuals with fatty liver, overweight individuals with depression, and those with polycystic ovary or metabolic syndrome. Five studies reported the effects of Sumac on oxidative stress, with four of them demonstrating a significant reduction in malondialdehyde (MDA) levels and an increase in total antioxidant capacity (TAC) and paraoxonase 1 (PON1). Regarding inflammation, one study reported no significant difference in tumor necrosis factor- alpha (TNF- alpha ) and interleukin-6 (IL-6) levels between the intervention and control groups. The results for high-sensitivity C-reactive protein levels, reported in five trials, were inconsistent. Conclusion: Sumac consumption over time may positively affect oxidative stress, although short-term use shows minimal impact. While one study found no significant effect on IL-6 and TNF- alpha , hs-CRP levels could decrease or remain unchanged. Further meta-analyses are needed to fully understand Sumac's potential benefits in managing metabolic diseases.",Screen on Title & Abstract,
,,,,,EXCLUDE on intervention,
130312643,Aatik (2024),State of the Art of students psychological needs at the level of higher education institutions in Morocco: a systematic literature review.,2024,"Introduction: This study uses a systematic literature review to analyze the current state of psychological needs among students in higher education institutions in Morocco. Students' psychological well-being is a significant public health concern in Morocco and is essential to both their academic success and social integration. Despite growing recognition of the significance of mental health in the academic setting, research on this topic is still incomplete and fragmented. Methods: This article examines the current state of students' psychological needs at the level of higher education institutions in Morocco through a systematic review of the literature. By analyzing existing literature, the study seeks to provide a comprehensive understanding of the well-being of Moroccan students, identifying key psychological needs and risk factors. Results: The analysis of 11 studies from 2010 to 2024 revealed critical information about the multifaceted nature of students' psychological needs in Morocco. The results were organized into several thematic categories: autonomy, competence, social relationships and support, self-esteem, and personal development. The review highlighted patterns of psychological needs and identified important risk factors such as mental health disorders, psychosocial stressors, and socio-economic challenges. Conclusion: This systematic review clarified the landscape of research on students' psychological well-being in Morocco and identified critical needs and risk factors. It is imperative to develop appropriate support strategies to improve students' well-being and foster their academic success and social integration.",Screen on Title & Abstract,
,,,,,EXCLUDE on population,
130312703,Abdoli (2024),A systematic review and meta-analysis of protozoan parasite infections among patients with mental health disorders: an overlooked phenomenon.,2024,"Background: Patients with mental disorders have a high risk of intestinal parasitic infection due to poor hygiene practices. Hence, to better clarify this overlooked phenomenon, the current study is conducted to determine the global prevalence of protozoan parasite infections in patients with mental disorders and investigate the associated risk factors. Methods: Several databases (PubMed, Scopus, Web of Science, ProQuest, and Google Scholar) were searched for papers published until December 2022. The fixed effect meta-analysis was used to estimate the overall odds ratio (OR) and pooled prevalence was estimated using a random-effects model with a 95% confidence interval (CI). Results: Totally, 131 articles (91 case-control and 40 cross-sectional studies) met the eligibility criteria. Patients with mental disorders were significantly at higher risk for protozoan parasites than healthy controls (OR: 2.059, 1.830-2.317). The highest pooled OR (2.485, 1.413-4.368) was related to patients with neurodevelopmental disorders, and the highest pooled prevalence was detected in patients with neurodevelopmental disorders (0.341, 0.244-0.446), followed by bipolar and related disorders (0.321, 0.000-0.995). Toxoplasma gondii was the most prevalent protozoan parasite (0.343, 0.228-0.467) in cross-sectional studies and the highest pooled OR was related to Cyclospora cayetanensis (4.719, 1.352-16.474) followed by Cryptosporidium parvum (4.618, 2.877-7.412). Conclusion: Our findings demonstrated that individuals afflicted with mental disorders are significantly more susceptible to acquiring protozoan parasites in comparison to healthy individuals. Preventive interventions, regular screening, and treatment approaches for parasitic diseases should be considered for patients with mental disorders.",Screen on Title & Abstract,
,,,,,EXCLUDE on intervention,
130312780,Jafari (2023),Nordic diet and its benefits in neurological function: a systematic review of observational and intervention studies.,2023,"Introduction: Neurological disorders have been considered the major contributors to global long-term disability and lower quality of life. Lifestyle factors, such as dietary patterns, are increasingly recognized as important determinants of neurological function. Some dietary behaviors, such as Nordic diet (ND) were likely to have protective effects on brain function. However, an understanding of the effectiveness of the ND pattern to improve neurological function and brain health is not fully understood. We review the current evidence that supports the ND pattern in various aspects of neurological function and addresses both proven and less established mechanisms of action based on its food ingredients and biochemical compounds. Methods: In this systematic review, PubMed, Web of Science, and Scopus databases were searched from inception to February 2023. Observational and intervention studies were included. Results: Of the 627 screened studies, 5 observational studies (including three cohorts and two cross-sectional studies) and 3 intervention studies investigating the association between ND and neurological function. Observational studies investigated the association of ND with the following neurological functions: cognition, stroke, and neuropsychological function. Intervention studies investigated the effects of ND on cognition and depression. Discussion: Despite the limited literature on ND and its association with neurological function, several aspects of ND may lead to some health benefits suggesting neuroprotective effects. The current state of knowledge attributes the possible effects of characteristic components of the ND to its antioxidant, anti-inflammatory, lipid-lowering, gut-brain-axis modulating, and ligand activities in cell signaling pathways. Based on existing evidence, the ND may be considered a recommended dietary approach for the improvement of neurological function and brain health.",Screen on Title & Abstract,
,,,,,EXCLUDE on intervention,
130312801,Bacon (2023),At the edge of care: a systematic review and thematic synthesis of parent and practitioner views and experiences of support for parents with mental health needs and children's social service involvement.,2023,"A range of professionals and services are often involved in supporting parents with mental health needs where there are child protection concerns. However, they do not always meet the needs of this population who tend to experience inadequate support and mistrust of services. This review aimed to synthesize parent and practitioner experiences of support for parents with both mental health needs and children's social services involvement. We performed electronic searches of the following databases: PsycINFO, CINAHL, HMIC, MEDLINE, Embase, Social Policy and Practice, Social Services Abstracts, Social Science Citation Index, OpenGrey, Social Care Online, and ProQuest. Following searching and screening, 41 studies were identified including 359 parents and 1370 practitioners. We worked with a Lived Experience Advisory Group to develop the following themes: (1) a downward spiral of service intervention; (2) working with parents, not against them; (3) support wanted versus support provided; and (4) constrained by service rigidity. We found that families were often parenting amidst trauma and adversity. However, service involvement could trigger a ""downward spiral"" of stressful processes over which parents felt they lacked control. Instead of improving their situations, support sometimes added to families' difficulties, worsening parents' mental health and making them feel marginalised, criticised, and retraumatised. There were, however, also examples of positive practice, where practitioners and parents developed trusting, open, and mutually respectful relationships. Practitioners often felt that they were limited in their ability to offer collaborative, holistic care because services were fragmented, underfunded, crisis driven, and inflexible. Difficulties mentioned most often by parents, such as financial issues, tended not to be a focus of available interventions. We conclude that the key issues identified must be targeted to improve support.",Screen on Title & Abstract,
,,,,,EXCLUDE on intervention,
130312804,Abdoli (2023),"Affect, body, and eating habits in children: a systematic review.",2023,"The present review investigates the complex associations between children's affective states, body perceptions, and eating habits, thus providing crucial insights for potential health interventions. Following PRISMA guidelines, three databases were searched for peer-reviewed studies exploring the relationship between eating habits, emotional states, and body image perceptions in a population of children (5 to 11 years old). A total of seven articles were included. Our findings revealed a pattern of associations between negative emotional states, like anxiety and depressive feelings, and maladaptive eating behaviors. Additionally, explicit influences from parental feeding practices, peer pressure, socioeconomic factors, and children's body perceptions were observed to shape eating habits, with a pronounced tendency among older girls towards dieting and food preoccupation. Our results underline the intertwining nature of age, gender, and emotional states. Furthermore, our findings accentuate the urgency for comprehensive interventions that acknowledge and address the complex interplay of emotional, familial, and socioeconomic factors alongside children's body image perceptions. The criticality of continued research, particularly ones employing longitudinal designs and diverse demographic samples, is highlighted as we strive to understand and navigate such multifaceted relationships to enhance children's health and well-being.",Screen on Title & Abstract,
,,,,,EXCLUDE on population,
130312805,Baker (2023),A mixed methods systematic review exploring infant feeding experiences and support in women with severe mental illness.,2023,"There are many benefits of breastfeeding to women and their infants but meeting the recommended 6 months of exclusive breastfeeding is likely to be more challenging for women with severe mental illness (SMI). This is the first systematic review that aims to examine evidence of (a) infant feeding outcomes in women with SMI and the factors associated with this, (b) the experiences of infant feeding and infant feeding support for women with SMI, (c) interventions for supporting infant feeding among these women and (d) health care professionals' attitudes toward supporting infant feeding in women with SMI. Mixed methods systematic review was carried out using the principles of Joanna Briggs Institute's (JBI) 'convergent integrated' methodology. CINAHL, PsycINFO, Medline and MIDIRS were used to search literature between 1994 and 2022. The quality of selected articles was assessed using JBI critical appraisal tools and thematic synthesis was undertaken to obtain findings. Eighteen papers were included in the final review. Women with SMI were less likely to initiate and continue breastfeeding than women without SMI. Several challenges with breastfeeding were highlighted, and while these were often linked to women's mental health difficulties, inconsistent advice from health care professionals and poor support with breastfeeding further compounded these challenges. This review highlights that policy and practice need to take into account the individual challenges women with SMI face when planning, initiating and maintaining breastfeeding. Education and training for health care professionals are needed to enable them to provide tailored infant feeding support to women with SMI, which reflects their individual needs.",Screen on Title & Abstract,
,,,,,EXCLUDE on population,
130312828,Jafari (2021),Depression in the Iranian elderly: a systematic review and meta-analysis.,2021,"Depression can lead to increased medical costs, impaired individual and social functioning, nonadherence to therapeutic proceeding, and even suicide and ultimately affect quality of life. It is important to know the extent of its prevalence for successful planning in this regard. This study was conducted to determine the prevalence of depression in the Iranian elderly. This systematic review and meta-analysis study was done through Medline via PubMed, SCOPUS, Web of Science, ProQuest, SID, Embase, and Magiran with determined keywords. Screening was done on the basis of relevance to the purpose of the study, titles, abstracts, full text, and inclusion and exclusion criteria. The quality of the articles was assessed using the Newcastle-Ottawa standard scale. After primary and secondary screening, 30 articles were finally included in the study. According to the 30 articles reviewed, the prevalence of depression in the Iranian elderly was 52 percent based on the random-effects model (CI 95%: 46-58). According to the results of the present study, depression in the Iranian elderly was moderate to high. Therefore, more exact assessment in terms of depression screening in elderly people seems necessary. Coherent and systematic programs, including psychosocial empowerment counselling for the elderly and workshops for their families, are also needed. Researchers can also use the results of this study for future research.",Screen on Title & Abstract,
,,,,,EXCLUDE on population,
130312971,Jagroep (2022),Behaviour change interventions to promote health and well-being among older migrants: a systematic review.,2022,"Background: Whether behaviour change interventions are effective for the maintenance of older migrants' health and well-being is uncertain. A systematic review was conducted to assess evidence for the capacity of behaviour change techniques (BCTs) to promote the health and well-being of older migrants. Methods: Electronic databases (Cochrane CENTRAL, Embase, Ovid MEDLINE and Web of Science) were searched systematically to identify relevant randomised controlled trials, pre-post studies and quasi-experimental studies published before March 2021. Additional articles were identified through citation tracking. Studies examining BCTs used to promote the health and/or well-being of older migrants were eligible. Two independent reviewers used the Behaviour Change Technique Taxonomy version 1 to extract data on BCTs. Data on intervention functions (IFs) and cultural adaption strategies were also extracted. Intervention contents (BCTs, IFs, culture adaption strategies) were compared across effective and ineffective interventions according to health and well-being outcome clusters (anthropometrics, health behaviour, physical functioning, mental health and cognitive functioning, social functioning and generic health and well-being). Results: Forty-three studies (23 randomised controlled trials, 13 pre-post studies and 7 quasi-experimental studies) reporting on 39 interventions met the inclusion criteria. Thirteen BCTs were identified as promising for at least one outcome cluster: goal-setting (behaviour), problem-solving, behavioural contract, self-monitoring of behaviour, social support (unspecified), instruction on how to perform the behaviour, information about health consequences, information about social and environmental consequences, demonstration of the behaviour, social comparison, behavioural practice/rehearsal, generalisation of a target behaviour and addition of objects to the environment. Three BCTs (instruction on how to perform the behaviour, demonstration of the behaviour, and social comparison) and two IFs (modelling and training) were identified as promising for all outcome clusters. Conclusion: Thirteen distinct BCTs are promising for use in future interventions to optimise health and well-being among older migrants. Future research should focus on the effectiveness of these BCTs (combinations) in various contexts and among different subgroups of older migrants, as well as the mechanisms through which they act. Given the scarcity of interventions in which cultural adaption has been taken into account, future behavioural change interventions should consider cultural appropriateness for various older migrant (sub)groups.",Screen on Title & Abstract,
,,,,,EXCLUDE on intervention,
130313009,Abdalrahman (2022),The impact of the COVID-19 pandemic on the mental health of medical staff considering the interplay of pandemic burden and psychosocial resources - a rapid systematic review.,2022,"Background: In times of the global corona pandemic health care workers (HCWs) fight the disease at the frontline of healthcare services and are confronted with an exacerbated load of pandemic burden. Psychosocial resources are thought to buffer adverse effects of pandemic stressors on mental health. This rapid review summarizes evidence on the specific interplay of pandemic burden and psychosocial resources with regard to the mental health of HCWs during the COVID-19 pandemic. The goal was to derive potential starting points for supportive interventions. Methods: We conducted a rapid systematic review following the recommendations of the Cochrane Rapid Reviews Methods Group. We searched 7 databases in February 2021 and included peer-reviewed quantitative studies, that reported related data on pandemic stressors, psychosocial resources, and mental health of HCWs. Results: 46 reports were finally included in the review and reported data on all three outcomes at hand. Most studies (n = 41) applied a cross-sectional design. Our results suggest that there are several statistically significant pandemic risk factors for mental health problems in HCWs such as high risk and fear of infection, while resilience, active and emotion-focused coping strategies as well as social support can be considered beneficial when protecting different aspects of mental health in HCWs during the COVID-19 pandemic. Evidence for patterns of interaction between outcomes were found in the context of coping style when facing specific pandemic stressors. Conclusion: Our results indicate that several psychosocial resources may play an important role in buffering adverse effects of pandemic burden on the mental health of HCWs in the context of the COVID-19 pandemic. Nevertheless, causal interpretations of mentioned associations are inadequate due to the overall low study quality and the dominance of cross-sectional study designs. Prospective longitudinal studies are required to elucidate the missing links.",Screen on Title & Abstract,
,,,,,EXCLUDE on population,
130313040,Jain (2022),Association between vegetarian and vegan diets and depression: a systematic review.,2022,"Recent evidence suggests that vegetarian and vegan diets may increase the risk and symptoms of depression, a mental health condition affecting 350 million people globally. We aimed to systematically review the literature on the associations between vegetarian and/or vegan diets and the risk or symptoms of depression using evidence from both observational and intervention studies. We followed the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, with pre-specification of all methods. A systematic search for relevant papers was performed on Medline and Embase, Web of Science and the Cochrane Library for cohort, case-control, cross-sectional studies or randomised controlled trials examining associations between a vegetarian or vegan diet and depression in adults. Three independent reviewers extracted data and assessed risk of bias using the National Heart, Lung, and Blood Institute of the National Institutes of Health for Quality Assessment of Observational Cohort and Cross-Sectional Studies and Controlled Studies. Evidence was tabulated according to the type of diet analysed as vegetarian, vegan or both and narratively synthesised. A total of 23 studies (18 cross-sectional, three prospective cohort and two randomised controlled trials) with 25 study outcomes were eligible for inclusion in this review. Conflicting evidence was found on the association between vegetarian or vegan diets and depression. Eleven (44%) of the outcomes indicated that vegetarian and vegan diets were associated with higher rates of depression, while seven (28%) outcomes revealed beneficial effects of the diets on depression. Seven (28%) outcomes found no association between vegetarian and vegan diets and depression, although two of these studies found a higher risk of depression in some groups. The quality of evidence was rated as good for four of the studies with the remaining 19 studies rated as fair. The evidence on the effect of vegetarian and vegan diets on depression is contradictory, possibly due to the heterogeneity of the studies analysed. Further research, including longitudinal and intervention studies, is required to resolve this observation.",Screen on Title & Abstract,
,,,,,EXCLUDE on intervention,
130313049,Balakrishnan (2022),COVID-19 depression and its risk factors in Asia pacific - a systematic review and meta-analysis.,2022,"Background: This systematic review and meta-analysis aim to synthesize the extant literature reporting the effects of COVID-19 pandemic based on the pooled prevalence of depression among affected populations in Asia Pacific, as well as its risk factors. Method: A systematic review and meta-analysis approach was adopted as per the PRISMA guidelines, targeting articles published in PubMed, Google Scholar and Scopus from January 2021 to March 30, 2021. The screening resulted in 82 papers. Results: The overall pooled depression prevalence among 201,953 respondents was 34% (95%CI, 29-38, 99.7%), with no significant differences observed between the cohorts, timelines, and regions (p > 0.05). Dominant risk factors found were fear of COVID-19 infection (13%), gender (i.e., females; 12%) and deterioration of underlying medical conditions (8.3%), regardless of the sub-groups. Specifically, fear of COVID-19 infection was the most reported risk factor among general population (k = 14) and healthcare workers (k = 8). Gender (k = 7) and increased workload (k = 7) were reported among healthcare workers whereas education disruption among students (k = 7). Limitation: The review is limited to articles published in three electronic databases. Conclusion The pandemic has caused depression among the populations across Asia Pacific, specifically among the general population, healthcare workers and students. Immediate attention and interventions from the concerned authorities are needed in addressing this issue.",Screen on Title & Abstract,
,,,,,INCLUDE on title & abstract,
130313096,Abboud (2021),Effect of ketogenic diet on quality of life in adults with chronic disease: a systematic review of randomized controlled trials.,2021,"Background: Chronic diseases adversely affect quality of life (QOL). The ketogenic diet (KD) may improve the QOL. Background: The aim of this systematic review was to summarize the available evidence of randomized controlled trials (RCTs) to establish the effect of KD on the QOL in adults with chronic diseases. Methods: Reporting followed PRISMA guidelines. We included randomized controlled trials (RCTs) conducted on adults with chronic disease including an intervention group that received KD and a control group, and where QOL was reported as outcome. We searched PubMed, APA PsycInfo, EMBASE, the Cumulative Index to Nursing and Allied Health Literature (CINAHL), the Cochrane Library, and Clinicaltrials.gov, and the references of the included articles and previous relevant reviews, without language or time restrictions. We critically appraised included studies and narratively synthesized their findings. Results: Nine RCTs were included. The risk of bias was low, except of allocation concealment and blinding. In patients with cancer: one RCT found an improvement in overall QOL, another reported improved physical component summary, and one found no superiority of KD in all QOL domains. In patients with neurological disorders: improved QOL was reported in Alzheimer's disease patients, whereas no difference in mental and physical health QOL was noted in patients with multiple sclerosis. In patients with obesity and type II diabetes: one RCT reported superiority of energy-restricted KD in improving role functioning, mental health, health perceptions, and pain compared with guideline-based diet, whereas in another RCT, high and low carbohydrate diets achieved comparable improvements. Among patients with knee osteoarthritis, no differences between KD and low-fat groups were noted. Dietary compliance with the KD, reported in three studies, was shown to be high. Side effects were mostly noted during the first weeks of intervention, and adverse events were not markedly different with KD and the comparison diet. Conclusion: The evidence from RCTs investigating the effect of KD on QOL in adults with chronic disease is inconclusive. The promising effect noted in some included studies and the low rates of adverse events and side effects encourage future investigations in this regard.",Screen on Title & Abstract,
,,,,,EXCLUDE on population,
